"day","slug","focus","title","artworkKey","challenge","prompt","quote","author","source","sourceUrl","categories","supplementalType","supplementalTitle","supplementalDescription","supplementalUrl","supplementalImageUrl","supplementalDurationLabel"
"1","clear-the-ground","release","Clear the Ground","day-01","Name one emotion, resentment, or disappointment that has been taking up space, and give it one honest sentence.","What becomes available when you stop pretending that this feeling is not there?","The wound is the place where the Light enters you.","Rumi","Sufinama: Rumi quote","https://sufinama.org/quotes/the-wound-is-the-place-where-the-light-enters-you-maulana-rumi-quote","healing|hope","","","","","",""
"2","let-go-a-little","release","Let Go a Little","day-02","Choose one small grip to loosen today: a rule, a judgment, a timeline, or a need to control the outcome.","Where did your body soften when you let go even a little?","If you let go a little, you will have a little peace. If you let go a lot, you will have a lot of peace.","Ajahn Chah","Wikiquote: Ajahn Chah","https://en.wikiquote.org/wiki/Ajahn_Chah","healing|peace","","","","","",""
"3","feel-without-fixing","presence","Feel Without Fixing","day-03","Give one difficult feeling ninety seconds of kind attention before you try to solve anything.","What did the feeling seem to need from you: witness, truth, rest, action, or compassion?","Nothing ever goes away until it has taught us what we need to know.","Pema Chodron","When Things Fall Apart","https://en.wikiquote.org/wiki/Pema_Ch%C3%B6dr%C3%B6n","wisdom|healing","","","","","",""
"4","choose-a-clean-slate","healing","Choose a Clean Slate","day-04","Write down one old pattern you are ready to stop rehearsing, then write the clean-slate choice beside it.","What would today look like if the past could inform you without directing you?","The partial becomes complete; the crooked, straight; the empty, full; the worn out, new.","Laozi","Tao Te Ching 22 (Legge)","https://www.infoplease.com/primary-sources/philosophy-religion/tao-te-ching/chapter-22","scripture|healing|hope","","","","","",""
"5","find-the-belief","beliefs","Find the Belief","day-05","Notice one recurring pressure or fear and ask, 'What belief is this trying to prove?'","Which belief feels inherited, outdated, or too small for who you are becoming?","What is necessary to change a person is to change his awareness of himself.","Abraham Maslow","Wikiquote: Abraham Maslow","https://en.wikiquote.org/wiki/Abraham_Maslow","identity|wisdom","","","","","",""
"6","ask-a-better-question","questions","Ask a Better Question","day-06","Replace one defeated question with a useful one, such as 'What is one truthful next step?'","How did the quality of your question change the quality of your energy?","All that we are is the result of what we have thought: it is founded on our thoughts, it is made up of our thoughts.","Dhammapada","Dhammapada 1:1 (Muller)","https://en.wikisource.org/wiki/Dhammapada_(Muller)","scripture|wisdom|identity","","","","","",""
"7","rewrite-the-story","affirmation","Rewrite the Story","day-07","Turn one limiting belief into an honest affirmation that your nervous system can actually believe.","What words felt both empowering and true enough to practice?","You never change things by fighting the existing reality. To change something, build a new model that makes the existing model obsolete.","Buckminster Fuller","Wikiquote: Buckminster Fuller","https://en.wikiquote.org/wiki/Buckminster_Fuller","purpose|wisdom","","","","","",""
"8","practice-the-new-pattern","patterns","Practice the New Pattern","day-08","Repeat your new affirmation three times today, then take one tiny action that proves it.","What action made the new belief feel more real?","Moral excellence comes about as a result of habit. We become just by doing just acts, temperate by doing temperate acts, brave by doing brave acts.","Aristotle","Wikiquote: Aristotle","https://en.wikiquote.org/wiki/Aristotle","courage|encouragement","","","","","",""
"9","protect-your-peace","shielding","Protect Your Peace","day-09","Before entering one draining space, set an intention for what energy belongs to you and what does not.","What helped you stay present without absorbing everything around you?","Keep thy heart with all diligence; for out of it [are] the issues of life.","Solomon","Proverbs 4:23 (KJV)","https://www.kingjamesbibleonline.org/Proverbs-4-23/","scripture|purpose|wisdom","","","","","",""
"10","strengthen-your-boundary","boundaries","Strengthen Your Boundary","day-10","Practice one boundary that is simple, respectful, and clear.","What did the boundary make possible for your energy or focus?","No person is your friend who demands your silence, or denies your right to grow.","Alice Walker","Wikiquote: Alice Walker","https://en.wikiquote.org/wiki/Alice_Walker","identity|peace","","","","","",""
