id,challenge,categories,approved,active
scripture-breathe-receive,"Take six slow breaths and silently repeat: I can receive what is good today.",scripture|peace,true,true
scripture-one-line-blessing,"Write one simple blessing over the choice in front of you.",scripture|hope,true,true
scripture-ask-seek-knock,"Ask for clarity in one sentence, seek one next step, then knock by taking it.",scripture|purpose,true,true
scripture-release-burden,"Name one burden you do not have to carry alone today.",scripture|healing,true,true
scripture-stillness-minute,"Sit still for one minute and let your next action come from quiet instead of pressure.",scripture|wisdom,true,true
scripture-kindness-offering,"Offer one quiet act of kindness without needing it to be noticed.",scripture|encouragement,true,true
scripture-peace-check,"Before responding, ask what would make this answer more peaceful and true.",scripture|peace,true,true
scripture-courage-step,"Take one faithful step that is small enough to do now.",scripture|courage,true,true
scripture-gratitude-line,"Write one line of thanks for something that is already supporting you.",scripture|hope,true,true
scripture-guided-choice,"Place a hand on your chest and ask what choice feels honest, loving, and grounded.",scripture|identity,true,true
courage-one-honest-sentence,"Write one honest sentence you have been avoiding and leave it somewhere private.",courage|identity,true,true
courage-send-clear-note,"Send or draft one clear sentence that says what you mean without overexplaining.",courage|peace,true,true
courage-name-the-fear,"Name the fear underneath one delay, then choose the smallest next action.",courage|wisdom,true,true
courage-two-minute-start,"Start the task you are avoiding for two minutes and stop when the timer ends.",courage|perseverance,true,true
courage-stand-tall,"Stand with both feet grounded for five breaths before your next difficult choice.",courage|identity,true,true
courage-ask-for-need,"Ask for one small thing you actually need today.",courage|healing,true,true
courage-boundary-draft,"Draft one respectful boundary sentence you could use later.",courage|identity,true,true
courage-choose-visible-good,"Do one good thing that your future self will be glad you chose.",courage|purpose,true,true
courage-repair-one-miss,"Make one tiny repair: apologize, clarify, reschedule, or restart.",courage|encouragement,true,true
courage-let-it-be-imperfect,"Complete one tiny step imperfectly instead of waiting to feel ready.",courage|perseverance,true,true
encouragement-kind-note-self,"Write one kind note to yourself as if you were supporting a close friend.",encouragement|healing,true,true
encouragement-notice-progress,"Name one sign that you are not where you used to be.",encouragement|hope,true,true
encouragement-text-support,"Send one genuine appreciation text to someone who has helped you.",encouragement|peace,true,true
encouragement-celebrate-small,"Celebrate one small action from today with one full sentence.",encouragement|hope,true,true
encouragement-soft-start,"Begin your next task by making it easier, smaller, or kinder.",encouragement|wisdom,true,true
encouragement-choose-supportive-words,"Replace one harsh inner phrase with words you would offer someone you love.",encouragement|healing,true,true
encouragement-visible-token,"Put one visible reminder near you that says: this still counts.",encouragement|perseverance,true,true
encouragement-accept-help,"Accept one available help, shortcut, tool, or kindness without arguing with it.",encouragement|identity,true,true
encouragement-bless-next-choice,"Speak one blessing over your next choice before you take it.",encouragement|hope,true,true
encouragement-future-self,"Ask what your future self would thank you for doing in the next two minutes.",encouragement|purpose,true,true
healing-soften-one-place,"Soften one place in your body for three slow breaths before making the next choice.",healing|peace,true,true
healing-name-feeling,"Name one feeling without fixing it, judging it, or explaining it away.",healing|wisdom,true,true
healing-warm-hand,"Place one hand where your body feels tense and breathe there for one minute.",healing|peace,true,true
healing-choose-gentle-truth,"Write one gentle truth that can sit beside the hard thing.",healing|hope,true,true
healing-release-should,"Cross out one should and write the real choice underneath it.",healing|identity,true,true
healing-one-sip-reset,"Drink water slowly and let it mark a restart in your day.",healing|encouragement,true,true
healing-forgive-small-delay,"Forgive yourself for one delay, then choose the next useful action.",healing|perseverance,true,true
healing-clear-one-inch,"Clear one small surface or corner as a signal that there is room to breathe.",healing|peace,true,true
healing-unclench-jaw,"Unclench your jaw, lower your shoulders, and exhale longer than you inhale.",healing|wisdom,true,true
healing-write-and-fold,"Write one painful thought on paper, fold it, and set it aside for now.",healing|courage,true,true
hope-one-kind-action,"Take one tiny hopeful action before noon and let it count.",hope|encouragement,true,true
hope-look-for-evidence,"Find one piece of evidence that change is already possible.",hope|wisdom,true,true
hope-light-next-step,"Choose the next step that makes your body feel one degree lighter.",hope|identity,true,true
hope-gratitude-three,"List three ordinary things that are quietly helping you today.",hope|peace,true,true
hope-open-window,"Open a window, step outside, or look at the sky for one full minute.",hope|healing,true,true
hope-progress-word,"Choose one word for the direction you are growing toward.",hope|purpose,true,true
hope-good-arrival,"When something good arrives today, pause for ten seconds before minimizing it.",hope|encouragement,true,true
hope-reframe-delay,"Turn one delay into a question: what is still available now?",hope|perseverance,true,true
hope-tiny-plan,"Write a two-step plan for one thing you want to make easier.",hope|wisdom,true,true
hope-receive-compliment,"Receive one compliment, kindness, or good moment with a simple thank you.",hope|identity,true,true
identity-name-one-truth,"Name one truth about yourself that is still true even when someone else is disappointed.",identity|courage,true,true
identity-beneath-role,"Write five words for who you are beneath roles, pressure, and performance.",identity|healing,true,true
identity-values-check,"Circle one value you want your next action to honor.",identity|purpose,true,true
identity-own-your-no,"Practice saying one calm no out loud, even if you do not use it today.",identity|peace,true,true
identity-body-yes-no,"Think of one option and notice whether your body feels open, neutral, or tight.",identity|wisdom,true,true
identity-choose-your-pace,"Choose the pace that lets you stay honest instead of performative.",identity|healing,true,true
identity-gift-notice,"Name one natural gift you usually overlook because it feels easy to you.",identity|encouragement,true,true
identity-stop-comparison,"When comparison appears, write one sentence about your actual path.",identity|hope,true,true
identity-one-aligned-action,"Do one small thing that matches the person you are becoming.",identity|perseverance,true,true
identity-claim-preference,"State one real preference today without apologizing for having it.",identity|courage,true,true
peace-release-one-rush,"Release one unnecessary rush today by taking the slower next step on purpose.",peace|healing,true,true
peace-five-four-three,"Notice five things you see, four sounds, three touches, two smells, and one breath.",peace|wisdom,true,true
peace-long-exhale,"Take eight breaths with a longer exhale than inhale.",peace|healing,true,true
peace-single-task,"Give one task your full attention for two minutes without switching tabs or apps.",peace|perseverance,true,true
peace-soften-response,"Before replying, pause long enough to choose your tone.",peace|courage,true,true
peace-reset-space,"Make one tiny part of your space calmer: move, mute, dim, or clear something.",peace|purpose,true,true
peace-listen-one-minute,"Listen to nearby sounds for one minute without naming them good or bad.",peace|wisdom,true,true
peace-kind-transition,"Before changing activities, take one breath and thank yourself for what you just did.",peace|encouragement,true,true
peace-boundary-breath,"Breathe once before saying yes, so your yes can be real.",peace|identity,true,true
peace-grounded-feet,"Put both feet on the floor and notice the support under you for thirty seconds.",peace|hope,true,true
perseverance-repeat-small-step,"Repeat one small supportive action you already know helps.",perseverance|encouragement,true,true
perseverance-two-minute-return,"Return to one unfinished thing for only two minutes.",perseverance|courage,true,true
perseverance-mark-next-action,"Write the next action on paper so your mind does not have to hold it.",perseverance|wisdom,true,true
